id,name,category,score,fdc_id,usda_description,status
5ff9873bcb1428358dda10f7eb72f8106579,Aal,Fisch,0.0,,,no_match
04384c06100ba3485d9f59b3dcee862c6e3f,Amaranth,Getreide,0.65,2512371,"Flour, amaranth",matched
b384aecffb003fbe1142b86ef6d13c807f6a,Ananas,Obst,0.0,,,no_match
58e65c6e795818b0835f4f1783601fb68c8f,Ananas (Bio),Obst,0.0,,,api_error:HTTPError
f629ce069c2f93c9e62a40949deeadc60964,Ananas (frisch),Obst,0.0,,,api_error:HTTPError
c1ea84e10a78561f55b9347d99c73acab2db,Ananas (reif),Obst,0.0,,,no_match
0846492f8a8098f03af7389a4b72dfc63082,Ananas (TK),Obst,0.0,,,api_error:HTTPError
564e6d9b9836cb6ce2c4c7d2ce248ead808c,Apfel,Obst,0.0,,,no_match
b77630c645078643c832c4480118eb74973c,Apfel (Bio),Obst,0.0,,,no_match
c9ade3486efcd1e1569011cd2f9f26c00d4c,Apfel (frisch),Obst,0.0,,,no_match
af4ad24a35f03d490fc7ff890f3d10ea34d7,Apfel (reif),Obst,0.0,,,no_match
94d15707cd18f82d6dcd2baa919dd48a49d6,Apfel (TK),Obst,0.0,,,api_error:HTTPError
2b3ec4a52ffde6ff01d38245e9f4dfa9e38f,Aprikose,Obst,0.0,,,no_match
9fe18000ab13c54bb9174bd6827b71b7fcdd,Aprikose (Bio),Obst,0.0,,,api_error:HTTPError
96c572dbc6d138a80f51de9aa9c0b5f07200,Aprikose (frisch),Obst,0.0,,,no_match
941fd1b54ca1e95ad96bb17ee392174a26b0,Aprikose (reif),Obst,0.0,,,api_error:HTTPError
e0fb5c430da991b8a6e1ea03b4c251ee4312,Aprikose (TK),Obst,0.0,,,api_error:HTTPError
63d76c9e12865f7bfe330c252fff4cf79c1e,Aubergine,Gemüse,0.3,1867461,"CUOCO, AUBERGINE AND VEGETABLE PUREE",weak_match
3746fea675a71bfe6524250587390993dcaa,Aubergine (Bio),Gemüse,0.0,,,api_error:HTTPError
bea25319a867fec4a9455b2ff7f57a5f9ecc,Aubergine (gedaempft),Gemüse,0.3,1867461,"CUOCO, AUBERGINE AND VEGETABLE PUREE",weak_match
31b307e2f3128e0301f56bf0e257415b8279,Aubergine (gekocht),Gemüse,0.3,1867461,"CUOCO, AUBERGINE AND VEGETABLE PUREE",weak_match
daf5c7aa8e735b3bcb9beb349c95ce2d127b,Aubergine (roh),Gemüse,0.0,,,api_error:HTTPError
242ff19383c7af5bec94e29c537e7ea0d8f0,Aubergine (TK),Gemüse,0.0,,,api_error:HTTPError
d604a4cedc109d070b3c8a152dcb868ce3fa,Avocado,Obst,0.75,2710208,Avocado dressing,matched
bc74d48e00c531fe7106bb1c1aecae8b1607,Avocado (Bio),Obst,0.0,,,api_error:HTTPError
224520164470bbe961234bec0c2a51d1a1f4,Avocado (frisch),Obst,0.0,,,api_error:HTTPError
