id,name,category,score,fdc_id,usda_description,status,error_code,note
c1ea84e10a78561f55b9347d99c73acab2db,Ananas (reif),Obst,0.75,2709260,"Pineapple, raw",matched,,
0846492f8a8098f03af7389a4b72dfc63082,Ananas (TK),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
564e6d9b9836cb6ce2c4c7d2ce248ead808c,Apfel,Obst,1.0,454004,APPLE,matched,,
b77630c645078643c832c4480118eb74973c,Apfel (Bio),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
c9ade3486efcd1e1569011cd2f9f26c00d4c,Apfel (frisch),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
af4ad24a35f03d490fc7ff890f3d10ea34d7,Apfel (reif),Obst,0.0,,,no_match,NO_MATCH,Kein USDA Treffer für den Begriff.
94d15707cd18f82d6dcd2baa919dd48a49d6,Apfel (TK),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
9fe18000ab13c54bb9174bd6827b71b7fcdd,Aprikose (Bio),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
96c572dbc6d138a80f51de9aa9c0b5f07200,Aprikose (frisch),Obst,0.75,2709221,"Apricot, raw",matched,,
941fd1b54ca1e95ad96bb17ee392174a26b0,Aprikose (reif),Obst,0.75,2709221,"Apricot, raw",matched,,
e0fb5c430da991b8a6e1ea03b4c251ee4312,Aprikose (TK),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
63d76c9e12865f7bfe330c252fff4cf79c1e,Aubergine,Gemüse,0.75,2710049,Eggplant dip,matched,,
3746fea675a71bfe6524250587390993dcaa,Aubergine (Bio),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
bea25319a867fec4a9455b2ff7f57a5f9ecc,Aubergine (gedämpft),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
31b307e2f3128e0301f56bf0e257415b8279,Aubergine (gekocht),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
daf5c7aa8e735b3bcb9beb349c95ce2d127b,Aubergine (roh),Gemüse,0.75,2709785,"Eggplant, raw",matched,,
242ff19383c7af5bec94e29c537e7ea0d8f0,Aubergine (TK),Gemüse,0.75,2710049,Eggplant dip,matched,,
bc74d48e00c531fe7106bb1c1aecae8b1607,Avocado (Bio),Obst,0.75,2710208,Avocado dressing,matched,,
224520164470bbe961234bec0c2a51d1a1f4,Avocado (frisch),Obst,0.75,2710208,Avocado dressing,matched,,
a73d82f84fa39aa80c5098729a2cd6ac2104,Avocadoöl,Öle,1.0,1857558,AVOCADO OIL,matched,,
c8f55a228c0e5c4379fdf0af3d4bb2665372,Banane,Obst,1.0,2012128,BANANA,matched,,
9678d685c5e026b6111c2ff4285c7ec7e2a6,Banane (Bio),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
41e61ec3fab9624a33b3a5dfe1d3cd8389a2,Banane (frisch),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
a7d8eba1db8203255a10651ac23d774ae52a,Banane (reif),Obst,0.75,2709225,"Banana, baked",matched,,
4311e7e2c3924b99f857d63bdf98b625d40e,Banane (TK),Obst,0.75,2709225,"Banana, baked",matched,,
5cc414ba1b8ba89e92b4c57489abda057862,Basilikum,Gewürze,1.0,1485010,BASIL,matched,,
1524f491c3b05369674e9c0bb1adc7799857,Basmati Reis,Getreide,1.0,2376231,BASMATI RICE,matched,,
9e126d865b85df51cc1c77d92ae238a0c7ac,Bauernbrot,Brot,0.3333,2707850,"Bread, fruit",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
5981a3eeccb084474d29e1ac00d70f9fc567,Bergkaese,Käse,0.25,2705770,"Cheese, processed cheese food",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
86b6d3f70e058bc8d055ae860ee6b8ab2e9a,Birne,Obst,0.75,2709254,"Pear, raw",matched,,
5d4ef0f7ebe64b75a21e73ada0b7d4d5639e,Birne (Bio),Obst,0.75,2709254,"Pear, raw",matched,,
2a039a547f04b4352136867aa1d67e6a4112,Birne (frisch),Obst,0.75,2709254,"Pear, raw",matched,,
85a473aa138b63656913c93ecc591f4683fa,Birne (reif),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
5936530945f1726fcbf16678b3a8e6479e32,Birne (TK),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
cae75cc16ac08164246255950552dde0bdde,Blumenkohl,Gemüse,1.0,2409200,CAULIFLOWER,matched,,
0d0d73623fd2c5c897c575a329a89856721c,Blumenkohl (Bio),Gemüse,0.75,2710074,"Cauliflower, pickled",matched,,
da6a4ebce237a841d6954ac58d4ff8f501a4,Blumenkohl (gedämpft),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
3ec88b3d0bad8c0f7aa4c04ff15548b2cf29,Blumenkohl (gekocht),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
c36a8eb8be8924620d892ee0e60a4e470899,Blumenkohl (roh),Gemüse,0.75,2685573,"Cauliflower, raw",matched,,
ff870b9e944d533e5fe3caf1159474cb520b,Blumenkohl (TK),Gemüse,0.75,2710074,"Cauliflower, pickled",matched,,
60726c7c7dd0c95cc8251c6c902baa6727f8,Bohne grün,Gemüse,1.0,2016796,GREEN BEAN,matched,,
6092900cc219a5b35048760cafb0714ba93c,Bohne grün (Bio),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
9aeb450ac491551a8ebde3185f40da4a96d6,Bohne grün (gekocht),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
14de94103eab9f1560907625e6136e4bef44,Bohne grün (roh),Gemüse,0.5,2709769,"Green beans, raw",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
db81a95640c7634b4c2ec78eb13cac4d0e1c,Bohne grün (TK),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
bd8b5bd4876909b30ef649575efd4ff6980e,Brokkoli,Gemüse,1.0,2549992,BROCCOLI,matched,,
621d798949797354b06784b467e5f5603706,Brokkoli (Bio),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
d635f52804c3ed9e5e8e92783ae63cdfd212,Brokkoli (gedämpft),Gemüse,0.0,,,no_match,NO_MATCH,Kein USDA Treffer für den Begriff.
1410254420d8e70e465d96885e9adafc572a,Brokkoli (gekocht),Gemüse,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
b64f2385d627ef5cfa6279979b079a1b1510,Brokkoli (roh),Gemüse,0.75,2709643,"Broccoli, raw",matched,,
3b1d9d7533ee7bb0de2a97bf4f7b7119e38b,Brokkoli (TK),Gemüse,0.5,169968,"Broccoli, frozen, chopped, unprepared",weak_match,WEAK_MATCH,"Treffer zu unsicher, manuelle Prüfung nötig."
7f318d127b547d456f8684cd6960156ae43c,Brombeere,Obst,1.0,454155,BLACKBERRY,matched,,
d3ebe21fdf3c0d543a010822f4801330b87e,Brombeere (Bio),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
d7900778d24ba9a9a45455304fb76c7fcadc,Brombeere (frisch),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
f708c2647362150b610e1ca400dd10e9abc0,Brombeere (reif),Obst,0.0,,,api_error,HTTP_400,Ungültige Anfrage an USDA.
